"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.917897;12.491655;12:02:56;0;75
41.903635;12.488658;12:02:56;0;85
41.901314;12.487902;12:02:57;67;119
41.896911;12.482124;12:02:57;33;294
41.886768;12.507940;12:02:57;0;31
41.912994;12.501349;12:02:58;14;367
41.919683;12.500635;12:02:58;0;88
41.897146;12.498066;12:02:59;1;113
41.903161;12.501166;12:02:59;0;141
41.904202;12.494367;12:02:59;0;242
41.904073;12.502076;12:02:59;21;330
41.901902;12.511955;12:02:59;0;339
41.903767;12.488332;12:02:59;32;48
41.902116;12.502723;12:02:59;3;84
41.908728;12.488825;12:03:00;24;301
41.912831;12.500826;12:03:01;23;171
41.910982;12.498370;12:03:01;0;194
41.901324;12.501069;12:03:02;0;110
41.917787;12.491608;12:03:02;2;138
41.901092;12.500711;12:03:02;0;182
41.890600;12.494000;12:03:02;0;186
41.902847;12.485482;12:03:02;7;200
41.906812;12.490152;12:03:02;0;24
41.904445;12.512023;12:03:02;88;287
41.919493;12.494926;12:03:02;0;3
41.907621;12.490316;12:03:02;0;81
41.901177;12.501123;12:03:03;1;106
41.880969;12.515334;12:03:03;0;129
41.903843;12.489094;12:03:03;0;131
41.906339;12.481685;12:03:03;4;253
41.907657;12.490600;12:03:03;0;349
41.880381;12.508505;12:03:03;0;363
41.902430;12.483891;12:03:04;0;256
41.907891;12.49162;12:03:04;2;320
41.903208;12.496126;12:03:05;0;100
41.906480;12.481796;12:03:05;0;107
41.894231;12.506294;12:03:05;5;169
41.901155;12.500839;12:03:05;0;246
41.902416;12.496565;12:03:05;10;261
41.904437;12.501835;12:03:05;0;303
41.906133;12.489727;12:03:06;5;126
41.896165;12.482177;12:03:06;22;294
41.917897;12.491655;12:03:06;0;75
41.903635;12.488658;12:03:06;0;85
41.886768;12.507940;12:03:07;0;31
41.901890;12.511958;12:03:07;0;339
41.913161;12.501727;12:03:07;14;367
41.903161;12.501166;12:03:08;0;141
41.903737;12.501624;12:03:08;3;330
41.919683;12.500635;12:03:08;5;88
41.897123;12.498089;12:03:09;1;113
41.902940;12.486300;12:03:09;12;119
41.904212;12.494354;12:03:09;0;242
41.906350;12.481764;12:03:09;2;253
41.908249;12.489207;12:03:09;29;301
41.903861;12.489413;12:03:09;56;48
41.902070;12.502824;12:03:09;5;84
41.901324;12.501069;12:03:11;0;110
41.913088;12.501516;12:03:11;27;171
41.910982;12.498370;12:03:11;0;194
41.903008;12.485529;12:03:11;17;200
41.917858;12.491590;12:03:12;0;138
41.890600;12.494000;12:03:12;0;186
41.906812;12.490152;12:03:12;0;24
41.905235;12.514792;12:03:12;0;287
41.919493;12.494926;12:03:12;0;3
41.880381;12.508505;12:03:12;0;363
41.901202;12.501077;12:03:13;1;106
41.880969;12.515334;12:03:13;7;129
41.903843;12.489094;12:03:13;0;131
41.901092;12.500711;12:03:13;0;182
41.907657;12.490600;12:03:13;0;349
41.903218;12.496127;12:03:15;1;100
41.906480;12.481796;12:03:15;0;107
41.894277;12.506468;12:03:15;30;169
41.901155;12.500839;12:03:15;0;246
41.902425;12.483875;12:03:15;0;256
41.902241;12.496813;12:03:15;22;261
41.904437;12.501835;12:03:15;0;303
41.917897;12.491655;12:03:15;0;75
41.907621;12.490316;12:03:15;0;81
41.906173;12.489889;12:03:16;5;126
41.895667;12.482492;12:03:16;5;294
41.912953;12.502073;12:03:16;0;367
41.903635;12.488658;12:03:16;0;85
41.903140;12.486508;12:03:17;18;119
41.886768;12.507940;12:03:17;0;31
41.907953;12.491571;12:03:17;0;320
41.903161;12.501166;12:03:18;0;141
41.894649;12.480607;12:03:18;16;226
41.901894;12.511940;12:03:18;0;339
41.919745;12.500782;12:03:18;24;88
41.897110;12.498032;12:03:19;1;113
